ObjektNr;BaustKanton;Kurzbeschreibung;BauartCode;Baubeginn;Bauende;GesuchVom;BewilligtAm;BaukostenVon;BaukostenBis;AnzGeb;AnzWhg;AnzEtagen;AnzUG;AnzPP;CRBCode01;CRBCode02;CRBCode03;CRBCode04;CRBCode05;CRBCode06;CRBCode07;CRBCode08;CRBCode09;CRBCode10
99920206;AG;Anbau eines Wintergartens;2; ; ;04.12.2006;24.01.2007;0.07;0.07;1;0;0;0;0;171;;;;;;;;;
99922737;AG;Erweiterung Einfamilienhaus                       ;2; ; ;04.01.2007; ;0.15;0.15;1;1;1;0;0;14;;;;;;;;;
99922743;AG;Abbruch eines Einfamilienhauses;5; ; ;04.01.2007; ;0.03;0.03;1;1;0;0;0;14;;;;;;;;;
99922745;AG;Ausbau Dachgeschoss bei Einfamilienhaus;3; ; ;04.01.2007; ;0.05;0.05;1;1;1;0;0;14;;;;;;;;;
99922748;AG;Verglasung eines Sitzplatzes;2; ; ;02.01.2007; ;0.03;0.03;1;0;0;0;0;;;;;;;;;;
99923652;AG;Einbau Zahnarztpraxis im AZ-Medienhaus;3; ; ;04.01.2007; ;0.6;0.6;1;0;1;0;0;82;;;;;;;;;
99923655;AG;Umbau Lagerhalle mit Deckeneinbau;3; ; ;05.01.2007; ;0.035;0.035;1;0;0;0;0;31;;;;;;;;;
99924170;AG;Verglasung eines Balkons;3; ; ;10.01.2007; ;0.03;0.03;1;0;0;0;0;;;;;;;;;;
99924173;AG;Neubau Einfamilienhaus mit freistehender Garage;1; ; ;10.01.2007; ;0.41;0.41;1;1;2;1;0;14;139;;;;;;;;
99925264;AG;Ausbau Dachgeschoss bei Einfamilienhaus;3; ; ;15.01.2007; ;0.09;0.09;1;1;1;0;0;14;;;;;;;;;
99925263;AG;Neubau Garage, Erweiterung Autoabstellplatz und Eingangsüberdachung     ;1; ; ;15.01.2007; ;0.06;0.06;1;0;0;0;0;139;;;;;;;;;
99924732;AG;Fassadensanierung bei Geschäftshaus;4; ; ;09.01.2007; ;0.055;0.055;1;0;0;0;0;38;;;;;;;;;
99924731;AG;Umbau Therapiebad;3; ; ;10.01.2007; ;1.165;1.165;1;0;0;0;0;86;;;;;;;;;
99924725;AG;Sanierung und Umbau Berufsschule                           ;3; ; ;19.01.2007; ;1.465;1.465;1;0;0;0;0;23;;;;;;;;;
99924407;AG;Neubau Einfamilienhaus mit integrierter Garage;1; ; ;08.01.2007; ;0.8;0.8;1;1;2;1;0;14;;;;;;;;;
99924406;AG;Anbau eines Wintergartens;2; ; ;10.01.2007; ;0.07;0.07;1;0;0;0;0;171;;;;;;;;;
99924175;AG;Umbau und Sanierung Einfamilienhaus, Neubau Carport;3; ; ;11.01.2007; ;0.2;0.2;1;1;1;0;0;14;174;;;;;;;;
99924174;AG;Abbruch Lagergebäude;5; ; ;08.01.2007; ;0.05;0.05;1;0;0;0;0;31;;;;;;;;;
99926436;AG;Neubau von 3 Mehrfamilienhäusern mit Einstellhalle;1; ; ;24.01.2007; ;6;6;3;17;3;1;0;12;127;131;;;;;;;
99926690;AG;Neubau Einfamilienhaus mit angebautem Geräteraum;1; ; ;23.01.2007; ;0.73;0.73;1;1;0;1;0;14;41;;;;;;;;
99926686;AG;Erweiterung Einfamilienhaus;2; ; ;23.01.2007; ;0.19;0.19;1;1;1;1;0;14;;;;;;;;;
99926685;AG;Umbau Einfamilienhaus mit Sitzplatzüberdachung;3; ; ;24.01.2007; ;0.24;0.24;1;1;0;0;0;14;;;;;;;;;
99925273;AG;Neubau Einfamilienhaus mit angebauter Garage;1; ; ;16.01.2007; ;0.5;0.5;1;1;2;1;0;14;139;;;;;;;;
99925271;AG;Einbau Dachfenster bei Einfamilienhaus, Neue Abgasleitung;3; ; ;15.01.2007; ;0.03;0.03;1;1;0;0;0;14;323;;;;;;;;
99925270;AG;Neubau von Stützmauer;1; ; ;16.01.2007; ;0.07;0.07;0;0;0;0;0;431;;;;;;;;;
99925268;AG;Neubau von Wohn- und Gewerbgebäuden mit Tiefgarage;1; ; ;16.01.2007; ;8;8;3;20;4;1;0;12;38;131;;;;;;;
99925266;AG;Ausbau Dachstock bei Einfamilienhaus;3; ; ;17.01.2007; ;0.09;0.09;1;1;1;0;0;14;;;;;;;;;
99927510;AG;Abbruch Gewächshäuser ehem. Gärtnerei Lüthi;5; ; ;24.01.2007; ;0.03;0.03;1;0;0;0;0;128;;;;;;;;;
99926432;AG;Anbau eines Wintergartens;2; ; ;24.01.2007; ;0.07;0.07;1;0;0;0;0;171;;;;;;;;;
99926431;AG;Einbau Lukarnen und Dachfenster bei Einfamilienhaus;3; ; ;24.01.2007; ;0.05;0.05;1;1;0;0;0;14;;;;;;;;;
99926430;AG;Umbau Einfamilienhaus;3; ; ;25.01.2007; ;0.2;0.2;1;1;0;0;0;14;;;;;;;;;
99926429;AG;Erweiterung und Umbau Einfamilienhaus                       ;2; ; ;24.01.2007; ;0.1;0.15;1;1;1;0;0;14;;;;;;;;;
99926428;AG;Aufbau Pultdach bei Schulhaus;4; ; ;22.01.2007; ;0.049;0.049;1;0;0;0;0;22;;;;;;;;;
99926427;AG;Anbau eines Geräteraumes;2; ; ;24.01.2007; ;0.03;0.03;1;0;0;0;0;41;;;;;;;;;
99926426;AG;Neubau von zwei Fertiggaragen;1; ; ;24.01.2007; ;0.06;0.06;2;0;0;0;0;139;;;;;;;;;
99926425;AG;Neubau Einfamilienhaus mit angebauten Garagen;1; ; ;24.01.2007; ;0.576;0.576;1;1;2;1;0;14;139;;;;;;;;
99910391;AG;Neubau von Mehrfamilienhäusern mit Autoabstellplätzen;1;Mrz 07;Nov 07;04.10.2006;17.01.2007;2;2;2;10;2;0;16;12;175;;;;;;;;
99908825;AG;Neubau Einfamilienhaus mit Carport                     ;1; ; ;27.09.2006;31.01.2007;0.5;0.5;1;1;2;1;0;14;174;;;;;;;;
99904365;AG;Neubau von 2 Mehrfamilienhäusern mit Einstellhalle;1; ; ;29.08.2006;09.01.2007;5.3;5.3;1;16;5;1;4;12;127;131;;;;;;;
99903237;AG;Umbau/Umnutzung Modemarkt in ALDI;3; ; ;25.08.2006;03.01.2007;0.67;0.67;1;0;1;0;0;61;;;;;;;;;
99905602;AG;Neubau Einfamilienhaus mit integrierter Garage;1; ; ;06.09.2006;18.01.2007;0.533;0.533;1;1;2;1;0;14;;;;;;;;;
99927995;AG;Sanierung und Umbau Einfamilienhaus;3; ; ;30.01.2007; ;0.15;0.15;1;1;0;0;0;14;;;;;;;;;
99928451;AG;Neubau Garage und Solaranlage;1; ; ;31.01.2007; ;0.064;0.064;1;0;0;0;0;139;;;;;;;;;
99928450;AG;Anbau Wintergarten;2; ; ;29.01.2007; ;0.032;0.032;1;0;0;0;0;171;;;;;;;;;
99928449;AG;Erweiterung Parkplatz;2; ; ;31.01.2007; ;0.032;0.032;0;0;0;0;8;175;;;;;;;;;
99925276;AG;Neubau Einfamilienhaus mit Carport;1; ; ;17.01.2007; ;0.48;0.48;1;1;2;1;0;14;174;;;;;;;;
99925275;AG;Neubau einer Doppelgarage;1; ; ;16.01.2007; ;0.06;0.06;1;0;0;0;0;139;;;;;;;;;
99918574;AG;Umbau Laden und Wohnungen;3;Dez 06;Feb 07;30.11.2006;04.01.2007;0.1;0.1;1;3;0;0;0;12;61;;;;;;;;
99908156;AG;Abbruch Einfamilienhaus;5; ; ;19.09.2006;17.01.2007;0.02;0.02;1;1;0;0;0;14;;;;;;;;;
99907979;AG;Neubau Mehrfamilienhaus mit Einstellhalle                       ;1; ; ;19.09.2006;17.01.2007;4.16;4.16;1;10;3;1;3;12;127;131;;;;;;;
99925996;AG;Erweiterung einer Stützmauer;2; ; ;16.01.2007; ;0.055;0.055;0;0;0;0;0;431;;;;;;;;;
99925995;AG;Einbau Dachflächenfenster bei Einfamilienhaus;3; ; ;16.01.2007; ;0.01;0.01;1;1;0;0;0;14;;;;;;;;;
99925994;AG;Sanierung Fassade bei Einfamilienhaus, Terrassen- und Gartenausgang     ;4; ; ;18.01.2007; ;0.025;0.025;1;1;0;0;0;14;;;;;;;;;
99918564;AG;Anbau Wintergarten;2; ; ;27.11.2006;18.01.2007;0.07;0.07;1;0;0;0;0;171;;;;;;;;;
99911273;AG;Neubau Erschliessungsstrasse mit Werkleitungen;1;Jan 07;Mai 07;10.10.2006;23.01.2007;0.4;0.4;0;0;0;0;0;211;311;321;323;;;;;;
