ObjektNr;BaustKanton;Kurzbeschreibung;BauartCode;Baubeginn;Bauende;GesuchVom;BewilligtAm;BaukostenVon;BaukostenBis;AnzGeb;AnzWhg;AnzEtagen;AnzUG;AnzPP;CRBCode01;CRBCode02;CRBCode03;CRBCode04;CRBCode05;CRBCode06;CRBCode07;CRBCode08;CRBCode09;CRBCode10
99836388;AG;Abbruch von Einfamilienhäusern mit Schuppen;5; ; ;09.08.2005;12.01.2006;0.1;0.1;6;0;0;0;0;14;41;;;;;;;;
99836392;AG;Konzept Neubauten Musterhäuser;1; ; ;09.08.2005;12.01.2006;5.5;5.5;22;22;0;0;0;14;;;;;;;;;
99837290;AG;Neubau einer Seniorenresidenz mit Gewerberäumen;1;Jul 06;Jul 07;18.08.2005;25.01.2006;6.7;6.7;1;21;0;1;0;15;38;;;;;;;;
99836511;AG;Neubau Einfamilienhaus mit angebauter Garage;1;Feb 06;Aug 06;08.08.2005;26.01.2006;0.7;0.7;1;1;2;1;0;14;139;;;;;;;;
99844840;AG;Einbau einer Wohnung/Studio anstelle Laden;3; ; ;27.09.2005;12.01.2006;0.19;0.19;1;1;1;0;0;14;;;;;;;;;
99845423;AG;Neubau eines Doppeleinfamilienhauses                       ;1; ; ;06.10.2005;12.01.2006;0.75;0.75;1;2;0;1;0;14;;;;;;;;;
99845497;AG;Erweiterung eines Mehrfamilienhauses         ;2;Jan 06; ;11.10.2005;26.01.2006;0.6;0.6;1;4;2;0;0;12;;;;;;;;;
99843651;AG;Umbau eines Ladenlokals mit Einbau eines Restaurants;3; ; ;21.09.2005;04.01.2006;0.14;0.14;1;0;2;0;0;111;;;;;;;;;
99742306;AG;Erweiterung und Umbau einer Schulanlage;2;Jan 06; ;11.10.2005;04.01.2006;9.862;9.862;1;0;2;1;0;22;121;122;;;;;;;
99858460;AG;Umbau und Sanierung Einfamilienhaus, Anbau Carport                      ;3; ; ;20.12.2005;25.01.2006;0.1205;0.1205;1;1;0;0;0;14;174;;;;;;;;
99855079;AG;Anbau eines Wintergartens, unbeheizt;2; ; ;28.11.2005;12.01.2006;0.03;0.03;1;0;0;0;0;171;;;;;;;;;
99855078;AG;Umbau Küche beim Einfamilienhaus;3; ; ;30.11.2005;04.01.2006;0.03;0.03;1;1;0;0;0;14;;;;;;;;;
99855015;AG;Neubau eines Einfamilienhauses mit Swimmingpool und Gerätehaus;1;Feb 06;Sep 06;01.12.2005;27.01.2006;0.603;0.603;1;1;0;1;0;14;41;173;;;;;;;
99855014;AG;Neubau eines Einfamilienhauses mit angebauter Garage;1;Jun 06;Dez 06;01.12.2005;26.01.2006;0.66;0.66;1;1;2;1;0;14;139;;;;;;;;
99853623;AG;Neubau Einfamilienhaus mit integrierter Garage;1;Mrz 06;Sep 06;21.11.2005;05.01.2006;0.8;0.8;1;1;2;1;0;14;;;;;;;;;
99849905;AG;Neubau von Doppeleinfamilienhäusern                       ;1; ; ;02.11.2005;04.01.2006;4;4;4;8;2;1;0;14;;;;;;;;;
99849902;AG;Neubau eines Einfamilienhauses mit integrierter Garage;1; ; ;03.11.2005;04.01.2006;0.5;0.5;1;1;2;1;0;14;;;;;;;;;
99853806;AG;Umbau eines Einfamilienhauses;3;Jan 06;Apr 06;24.11.2005;05.01.2006;0.3;0.3;1;1;0;0;0;14;;;;;;;;;
99858807;AG;Neubau Gerätehaus, Auffüllung mit Böschungssteinen;1; ; ;02.01.2006; ;0.03;0.03;1;0;0;0;0;41;;;;;;;;;
99858806;AG;Neubau eines Einfamilienhauses;1; ; ;05.01.2006; ;0.52;0.52;1;1;0;1;0;14;;;;;;;;;
99858802;AG;Anbau Verglasung bei Hauseingang;2; ; ;02.01.2006; ;0.03;0.03;1;0;0;0;0;;;;;;;;;;
99856146;AG;Neubau eines Einfamilienhauses;1; ; ;08.12.2005;12.01.2006;0.5;0.5;1;1;0;1;0;14;;;;;;;;;
99856139;AG;Umbau und Sanierung eines Einfamilienhauses;3; ; ;15.12.2005;12.01.2006;0.5;0.5;1;1;0;0;0;14;;;;;;;;;
99856135;AG;Neubau von 2 Einfamilienhäusern mit freistehenden Garagen;1; ; ;08.12.2005;12.01.2006;0.82;0.82;2;2;2;1;0;14;139;;;;;;;;
99858535;AG;Umbau eines Einfamilienhauses;3;Jan 06;Mai 06;20.12.2005;26.01.2006;0.336;0.336;1;1;0;0;0;14;;;;;;;;;
99858469;AG;Erweiterung eines Einfamilienhauses;2; ; ;22.12.2005;26.01.2006;0.17;0.17;1;1;2;0;0;14;;;;;;;;;
99858461;AG;Umbau/Umnutzung Lager in Computer-Shop;3; ; ;22.12.2005;26.01.2006;0.12;0.12;1;0;1;0;0;61;;;;;;;;;
99862178;AG;Einbau einer Garage;3; ; ;16.01.2006; ;0.03;0.03;1;0;0;0;0;;;;;;;;;;
99862171;AG;Umbau eines Einfamilienhauses                       ;3; ; ;19.01.2006; ;0.15;0.15;1;1;0;1;0;14;63;;;;;;;;
99862170;AG;Einbau Dachlukarne beim Einfamilienhaus;3; ; ;16.01.2006; ;0.03;0.03;1;1;1;0;0;14;;;;;;;;;
99862146;AG;Erweiterung eines Einfamilienhauses                       ;2; ; ;23.01.2006; ;0.36;0.36;1;1;0;0;0;14;;;;;;;;;
99862145;AG;Umbau eines Einfamilienhauses;3; ; ;17.01.2006; ;0.19;0.19;1;1;0;0;0;14;;;;;;;;;
99862142;AG;Neubau Remise;1; ; ;18.01.2006; ;0.05;0.05;1;0;0;0;0;41;;;;;;;;;
